id	길이(초)	조회수	올린날	제목	비고
3BFcKQKnjPw	178	7393	20230815	나스닥 사무실은 어떻게 생겼을까?	자막 없음(외국어 영상 — 자동 번역이라 뺐음)
AfNH2yn9Kr4	209	12063	20230802	실제 뉴욕 상위 1%만 산다는 펜트하우스 (트럼프가 옆방에 있어요)	자막 없음(외국어 영상 — 자동 번역이라 뺐음)
7PZOy88aOy8	275	6243	20230728	1200억원 도널드 트럼프의 실제 펜트하우스에 들어갔습니다. 국내 최초, 재산인증해야 들어가는 곳	자막 없음(외국어 영상 — 자동 번역이라 뺐음)
ff6EsxUeiSI	232	5356	20230727	세계 최고의 증권사가 모여있는 뉴욕 월드트레이드센터를 다녀왔습니다	자막 없음(외국어 영상 — 자동 번역이라 뺐음)
seS-AJh1q1o	194	6341	20230727	매매중독자 김직선 비오는날 뉴욕 맨해튼 째즈카페 | 트레이더 브이로그 VLOG	
MjBCAcdFOr0	712	22793	20230719	평범한 직장인 트레이더가 2주만에 1000만원을 만들 수 있었던 이유(feat 수익인증 포함)	
DOqqehFq-9A	834	111046	20230713	초보자도 평생 써먹는 피보나치 갠팬 눌림목 매매기법	
CTZNfTu2wwM	185	11991	20230712	뉴욕 여행가서 하루 1000만원 버는 전업투자자 브이로그 (in 브루클린)	
RjZ3o1V6-aE	703	177633	20230710	모든 종목에 적용 가능한 5분봉 박스권 매매법 공개	
QTGe3KOb9aU	523	7165	20230628	이 주식을 사면 인생을 바꿀 수 있습니다	
frdyxJ_c8H0	455	117654	20230616	해외선물로 100만원에서 90억을 만든 "매매법" (1편)	
CjmeoAuy0hU	684	140851	20230521	차트교과서 4강 추세선 잘 긋는 방법 한방에 정리	
p0rUdKEqDuo	890	114262	20230521	차트교과서 3강 지지와 저항 눌림목 찾는 방법	
JHXxKL9OOtI	470	119746	20230425	차트 교과서 2강 몇 분봉을 봐야할지 모르겠다면 이 영상만 보시면 됩니다	
xh8_ufqI19w	411	21155	20230410	나스닥 선물 단타, 실전 트레이딩	
eGaaM0Pz2Lk	352	331545	20230405	일 300만원이 가능한 볼린저밴드 매매법 (더블비 매매기법)	차12 사슬의 맨 위 추정 (김직선 → 트팩 CDa7hH43we0 → 더원 L07 → 차12)
F-ub0eexLnU	315	17982	20230330	[2023.03.30] 나스닥 신고점 "돌파" 예측	
aIJznNQDJJM	329	55825	20230317	나스닥 하루 10만원씩 30일 연승으로 버는 꿀팁!!!!! (현재까지 38승 0패)	
E7K6SncBU_8	258	27032	20230308	매매에서 가장 중요한 것은 레버리지 계산 입니다	
p2Q2u5OjKU0	2114	127209	20230303	해외선물 단타를 배우고 싶은 해린이(해외선물 초보자)들을 위한 해외선물 공부 순서 그리고 QnA	
